tahun,bulan,jenis_komoditas,nama_komoditas,nilai_ekspor
2005,"Maret","Hasil industri","Alas kaki",119674
2005,"Maret","Hasil industri","Damar tiruan, bahan plastik",132115
2005,"Maret","Hasil industri","Furnitur",249114
2005,"Maret","Hasil industri","Kapal laut dan sejenisnya",3930
2005,"Maret","Hasil industri","Bahan kertas",40
2005,"Maret","Hasil industri","Suku cadang kendaraan",66496
2005,"Maret","Hasil industri","Kendaraan bermotor roda 4 dan lebih",89485
2005,"Maret","Hasil industri","Emas batangan",0
2005,"Maret","Hasil industri","Suku cadang mesin",64612
2005,"Maret","Hasil industri","Asam berlemak",26475
2005,"Maret","Hasil industri","Komputer dan bagiannya",0
2005,"Maret","Hasil industri","Sabun mandi dan cuci",32970
2005,"Maret","Hasil industri","Minyak atsiri dan lainnya",10169
2005,"Maret","Hasil industri","Gelas dan barang dari gelas",35009
2005,"Maret","Hasil industri","Pupuk",1498
2005,"Maret","Hasil industri","Perlengkapan olahraga",12756
2005,"Maret","Hasil industri","Produk keramik",22043
2005,"Maret","Hasil industri","Makanan ternak",5137
2005,"Maret","Hasil industri","Margarin dan lemak lainnya",13935
2005,"Maret","Hasil industri","Produk farmasi",7312
2005,"Maret","Hasil industri","Barang dari logam mulia",4970
2005,"Maret","Hasil industri","Kulit dan barang dari kulit",10826
2005,"Maret","Hasil industri","Preparat pembasmi kuman",918
2005,"Maret","Hasil industri","Pesawat udara dan bagiannya",49298
2005,"Maret","Hasil industri","Bahan celup organik sintetik",10683
2005,"Maret","Hasil industri","Semen",7227
2005,"Maret","Hasil industri","Kendaraan bermotor roda 2 dan 3",21403
2005,"Maret","Hasil industri","Barang anyaman",0
2005,"Maret","Hasil industri","Rotan olahan",0
2005,"Maret","Hasil industri","Peti kemas",0
2005,"Maret","Hasil industri","Gliserol dan larutan alkali",0
2005,"Maret","Hasil industri","Hasil industri lainnya",1345713
2005,"Maret","Hasil pertambangan dan sektor lainnya","Batubara",218677
2005,"Maret","Hasil pertambangan dan sektor lainnya","Biji tembaga",212255
2005,"Maret","Hasil pertambangan dan sektor lainnya","Biji nikel",0
2005,"Maret","Hasil pertambangan dan sektor lainnya","Bauksit",2646
2005,"Maret","Hasil pertambangan dan sektor lainnya","Granit",4810
2005,"Maret","Hasil pertambangan dan sektor lainnya","Hasil pertambangan lainnya",29190
2005,"Maret","Hasil pertambangan dan sektor lainnya","Hasil sektor lainnya ",306
2005,"Maret","Ekspor yang tidak dapat diklasifikasikan ","Ekspor yang tidak dapat diklasifikasikan",47870
2005,"April","Hasil pertanian","Biji coklat",34213
2005,"April","Hasil pertanian","Udang",64370
2005,"April","Hasil pertanian","Biji kopi",42457
2005,"April","Hasil pertanian","Ikan dan lain-lain",20369
2005,"April","Hasil pertanian","Rempah-rempah",12639
2005,"April","Hasil pertanian","Teh",9765
2005,"April","Hasil pertanian","Bahan nabati",512
2005,"April","Hasil pertanian","Buah-buahan",172
2005,"April","Hasil pertanian","Tembakau",27309
2005,"April","Hasil pertanian","Sayur-sayuran",951
2005,"April","Hasil pertanian","Damar dan getah damar",1465
2005,"April","Hasil pertanian","Karet alam",130
2005,"April","Hasil pertanian","Hasil pertanian lainnya",31544
2005,"April","Hasil industri","Minyak sawit",374213
2005,"April","Hasil industri","Tekstil dan produk tekstil",424270
2005,"April","Hasil industri","Peralatan listrik, alat ukur dan optik",495641
2005,"April","Hasil industri","Produk logam dasar ",453043
2005,"April","Hasil industri","Karet olahan ",28617
2005,"April","Hasil industri","Kertas dan barang dari kertas",18768
2005,"April","Hasil industri","Makanan olahan",155507
2005,"April","Hasil industri","Bahan kimia",205135
2005,"April","Hasil industri","Produk kayu olahan",236565
2005,"April","Hasil industri","Alas kaki",92116
2005,"April","Hasil industri","Damar tiruan, bahan plastik",111819
2005,"April","Hasil industri","Furnitur",164174
2005,"April","Hasil industri","Kapal laut dan sejenisnya",2751
2005,"April","Hasil industri","Bahan kertas",0
2005,"April","Hasil industri","Suku cadang kendaraan",54192
2005,"April","Hasil industri","Kendaraan bermotor roda 4 dan lebih",79664
2005,"April","Hasil industri","Emas batangan",0
2005,"April","Hasil industri","Suku cadang mesin",64612
2005,"April","Hasil industri","Asam berlemak",23709
2005,"April","Hasil industri","Komputer dan bagiannya",0
2005,"April","Hasil industri","Sabun mandi dan cuci",22097
2005,"April","Hasil industri","Minyak atsiri dan lainnya",7630
2005,"April","Hasil industri","Gelas dan barang dari gelas",26738
2005,"April","Hasil industri","Pupuk",2704
